
410103	410100	3	district	二七区	410000,410100,410103	河南省,郑州市,二七区	河南省	郑州市	二七区	113.645422	34.730936
410104	410100	3	district	管城回族区	410000,410100,410104	河南省,郑州市,管城回族区	河南省	郑州市	管城回族区	113.685313	34.746453
410122	410100	3	district	中牟县	410000,410100,410122	河南省,郑州市,中牟县	河南省	郑州市	中牟县	114.022521	34.721976
410105	410100	3	district	金水区	410000,410100,410105	河南省,郑州市,金水区	河南省	郑州市	金水区	113.686037	34.775838
410108	410100	3	district	惠济区	410000,410100,410108	河南省,郑州市,惠济区	河南省	郑州市	惠济区	113.61836	34.828591
410700	410000	2	city	新乡市	410000,410700	河南省,新乡市	河南省	新乡市		113.883991	35.302616
410704	410700	3	district	凤泉区	410000,410700,410704	河南省,新乡市,凤泉区	河南省	新乡市	凤泉区	113.906712	35.379855
410782	410700	3	district	辉县市	410000,410700,410782	河南省,新乡市,辉县市	河南省	新乡市	辉县市	113.802518	35.461318
410783	410700	3	district	长垣市	410000,410700,410783	河南省,新乡市,长垣市	河南省	新乡市	长垣市	114.673807	35.19615
410711	410700	3	district	牧野区	410000,410700,410711	河南省,新乡市,牧野区	河南省	新乡市	牧野区	113.89716	35.312974
410703	410700	3	district	卫滨区	410000,410700,410703	河南省,新乡市,卫滨区	河南省	新乡市	卫滨区	113.866065	35.304905
410721	410700	3	district	新乡县	410000,410700,410721	河南省,新乡市,新乡县	河南省	新乡市	新乡县	113.806186	35.190021
410727	410700	3	district	封丘县	410000,410700,410727	河南省,新乡市,封丘县	河南省	新乡市	封丘县	114.423405	35.04057
410724	410700	3	district	获嘉县	410000,410700,410724	河南省,新乡市,获嘉县	河南省	新乡市	获嘉县	113.657249	35.261685
410725	410700	3	district	原阳县	410000,410700,410725	河南省,新乡市,原阳县	河南省	新乡市	原阳县	113.965966	35.054001
410726	410700	3	district	延津县	410000,410700,410726	河南省,新乡市,延津县	河南省	新乡市	延津县	114.200982	35.149515
